nSignal,sSignalRaw,sSignal,sTable,nRate,sMuscle,sUnit,sNote
1,ra_el_e_f_moment,ra_el_e_f,tor,1000,,Nm,osim
2,ra_wr_s_p_moment,ra_wr_s_p,tor,1000,,Nm,osim
3,ra_wr_e_f_moment,ra_wr_e_f,tor,1000,,Nm,osim
4,ra_wr_ad_ab_moment,ra_wr_ad_ab,tor,1000,,Nm,osim
5,ra_cmc1_ad_ab_moment,ra_cmc1_ad_ab,tor,1000,,Nm,osim
6,ra_cmc1_f_e_moment,ra_cmc1_f_e,tor,1000,,Nm,osim
7,ra_mcp2_e_f_moment,ra_mcp2_e_f,tor,1000,,Nm,osim
8,ra_mcp3_e_f_moment,ra_mcp3_e_f,tor,1000,,Nm,osim
9,ra_mcp4_e_f_moment,ra_mcp4_e_f,tor,1000,,Nm,osim
10,ra_mcp5_e_f_moment,ra_mcp5_e_f,tor,1000,,Nm,osim
11,ra_mcp1_f_e_moment,ra_mcp1_f_e,tor,1000,,Nm,osim
12,ra_pip2_e_f_moment,ra_pip2_e_f,tor,1000,,Nm,osim
13,ra_pip3_e_f_moment,ra_pip3_e_f,tor,1000,,Nm,osim
14,ra_pip4_e_f_moment,ra_pip4_e_f,tor,1000,,Nm,osim
15,ra_pip5_e_f_moment,ra_pip5_e_f,tor,1000,,Nm,osim
16,ra_ip1_f_e_moment,ra_ip1_f_e,tor,1000,,Nm,osim
17,ra_dip2_e_f_moment,ra_dip2_e_f,tor,1000,,Nm,osim
18,ra_dip3_e_f_moment,ra_dip3_e_f,tor,1000,,Nm,osim
19,ra_dip4_e_f_moment,ra_dip4_e_f,tor,1000,,Nm,osim
20,ra_dip5_e_f_moment,ra_dip5_e_f,tor,1000,,Nm,osim
