sFile,sPath,sTrialType,sSubject,sPrefix,bTrial,nTrial,tSync,sSession,idTrial,nSampleStart,nSampleEnd,sModel
Sim_RHand_20DOF_Inv_idTrialType1_idTrial1.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_pro_90,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,1,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType2_idTrial2.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_sup_90,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,2,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType3_idTrial3.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_flx_add_90,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,3,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType4_idTrial4.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_ext_abd_90,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,4,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType5_idTrial5.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_90,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,5,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType6_idTrial6.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_90,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,6,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType7_idTrial7.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_pro_90,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,7,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType8_idTrial8.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_w_pro_90,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,8,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType9_idTrial9.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_sup_90,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,9,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType10_idTrial10.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_w_sup_90,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,10,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType11_idTrial11.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_flx_icw_sup_90,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,11,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType12_idTrial12.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_w_ext_icw_pro_90,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,12,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType13_idTrial13.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_thumb_flx_90,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,13,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType14_idTrial14.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_pro_45,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,14,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType15_idTrial15.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_sup_45,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,15,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType16_idTrial16.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_flx_add_45,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,16,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType17_idTrial17.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_ext_abd_45,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,17,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType18_idTrial18.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_45,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,18,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType19_idTrial19.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_45,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,19,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType20_idTrial20.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_pro_45,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,20,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType21_idTrial21.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_w_pro_45,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,21,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType22_idTrial22.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_sup_45,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,22,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType23_idTrial23.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_w_sup_45,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,23,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType24_idTrial24.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_flx_icw_sup_45,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,24,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
