nSignal,sSignalRaw,sSignal,sTable,nRate,sMuscle,sUnit,sNote
1,ra_el_e_f,ra_el_e_f,tor,1000,,Nm,sim
2,ra_wr_s_p,ra_wr_s_p,tor,1000,,Nm,sim
3,ra_wr_e_f,ra_wr_e_f,tor,1000,,Nm,sim
4,ra_wr_ad_ab,ra_wr_ad_ab,tor,1000,,Nm,sim
5,ra_cmc1_ad_ab,ra_cmc1_ad_ab,tor,1000,,Nm,sim
6,ra_cmc1_f_e,ra_cmc1_f_e,tor,1000,,Nm,sim
7,ra_mcp2_e_f,ra_mcp2_e_f,tor,1000,,Nm,sim
8,ra_mcp3_e_f,ra_mcp3_e_f,tor,1000,,Nm,sim
9,ra_mcp4_e_f,ra_mcp4_e_f,tor,1000,,Nm,sim
10,ra_mcp5_e_f,ra_mcp5_e_f,tor,1000,,Nm,sim
11,ra_mcp1_f_e,ra_mcp1_f_e,tor,1000,,Nm,sim
12,ra_pip2_e_f,ra_pip2_e_f,tor,1000,,Nm,sim
13,ra_pip3_e_f,ra_pip3_e_f,tor,1000,,Nm,sim
14,ra_pip4_e_f,ra_pip4_e_f,tor,1000,,Nm,sim
15,ra_pip5_e_f,ra_pip5_e_f,tor,1000,,Nm,sim
16,ra_ip1_f_e,ra_ip1_f_e,tor,1000,,Nm,sim
17,ra_dip2_e_f,ra_dip2_e_f,tor,1000,,Nm,sim
18,ra_dip3_e_f,ra_dip3_e_f,tor,1000,,Nm,sim
19,ra_dip4_e_f,ra_dip4_e_f,tor,1000,,Nm,sim
20,ra_dip5_e_f,ra_dip5_e_f,tor,1000,,Nm,sim
