idMuscle,sMuscle,sMuscleFullName,nActivationMax
1,SUPSP,Supraspinatus,
2,INFSP,Infraspinatus,
3,SUBSC,Subscapularis,
4,TERMI,Teres Minor,
5,TERMA,Teres Major,
6,PECM_R,Pectoralis Major,
7,PECM_M,Pectoralis Major,
8,PECM_C,Pectoralis Major,
9,LATD_R,Latissimus Dorsi,
10,LATD_M,Latissimus Dorsi,
11,LATD_C,Latissimus Dorsi,
12,CORBR,Coracobrachialis,
13,DELT_A,Deltoid (Anterior),
14,DELT_LAT,Deltoid (Lateral),
15,DELT_P,Deltoid (Posterior),
16,TRI_LO,Triceps Brachii Long Head,
17,TRI_LAT,Triceps Brachii Lateral Head,
18,TRI_M,Triceps Brachii Medial Head,
19,ANC,Anconeus,
20,BIC_LO,Biceps Brachii Long Head,
21,BIC_SH,Biceps Brachii Short Head,
