sBody,nMass,sNote,sBlock,nLength,nDim1,nDim2,nCM
T,20,Trunk,box,0.3,0.2,0.05,0.15
H,2.0832,humerus,cylinder,0.3125,0.0482,0,0.1563
RU,0.9827,Radius/ulna proximal,cylinder,0.168,0.0352,0,0.084
RUD,0.2077,radius/ulna distal,cylinder,0.0773,0.03,0,0.03865
MC,0.2455,metacarpals excluding thumb,box,0.09,0.074,0.03,0.045
P1,0.0198,metacarpal thumb,cylinder,0.0555,0.0096,0,0.0278
P1M,0.0179,thumb central,cylinder,0.0366,0.0092,0,0.0183
P1D,0.0139,thumb distal,cylinder,0.026,0.0087,0,0.013
P2,0.0163,index finger proximal,cylinder,0.0338,0.0096,0,0.0169
P2M,0.0139,index finger central,cylinder,0.0245,0.0092,0,0.0123
P2D,0.0131,index finger distal,cylinder,0.0137,0.0087,0,0.0069
P3,0.0202,middle finger proximal,cylinder,0.0352,0.0096,0,0.0176
P3M,0.0159,middle finger central,cylinder,0.0255,0.0092,0,0.0128
P3D,0.0119,middle finger distal,cylinder,0.0142,0.0087,0,0.0071
P4,0.0143,ring finger proximal,cylinder,0.0331,0.0096,0,0.0166
P4M,0.0108,ring finger central,cylinder,0.0239,0.0092,0,0.012
P4D,0.0093,ring finger distal,cylinder,0.0134,0.0087,0,0.0067
P5,0.0121,pinky finger proximal,cylinder,0.0285,0.0096,0,0.0143
P5M,0.0073,pinky finger central,cylinder,0.0206,0.0092,0,0.0103
P5D,0.0067,pinky finger distal,cylinder,0.0115,0.0087,0,0.0058
